fund_code,fund_name,shares,cost_nav,trade_date,drop_threshold_pct,note
161125,易方达标普500指数人民币A,3.4898,2.8661,2026-03-04,1.5,按当前持有金额10元折算为基线导入
000834,大成纳斯达克100ETF联接(QDII)A,9.0527,5.5232,2026-03-04,1.5,按当前持有金额50元折算为基线导入
017641,摩根标普500指数(QDII)人民币A,32.4317,1.5417,2026-03-04,1.5,按当前持有金额50元折算为基线导入
006479,广发纳斯达克100ETF联接人民币(QDII)C,1.4301,6.9923,2026-03-04,1.5,按当前持有金额10元折算为基线导入
